,Gender,Age,Category,Quantity,Price,Payment_method,Datetime,Shopping_mall
1098,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park
1099,Female,31,Clothing,3,900.24,Credit Card,26/06/2021,Metrocity
1100,Male,24,Books,4,60.6,Cash,17/04/2022,Metrocity
1101,Female,23,Clothing,1,300.08,Cash,17/10/2022,Mall of Istanbul
1102,Male,47,Cosmetics,1,40.66,Credit Card,4/4/21,Viaport Outlet
1103,Male,28,Souvenir,3,35.19,Debit Card,18/02/2022,Forum Istanbul
1104,Female,22,Clothing,1,300.08,Credit Card,5/3/21,Istinye Park
1105,Female,45,Cosmetics,3,121.98,Credit Card,19/01/2023,Mall of Istanbul
1106,Male,58,Cosmetics,5,203.3,Cash,11/11/22,Kanyon
1107,Male,49,Clothing,5,1500.4,Credit Card,23/10/2022,Kanyon
1108,Female,61,Clothing,4,1200.32,Cash,22/01/2023,Metrocity
1109,Male,26,Technology,4,4200.0,Cash,28/10/2021,Viaport Outlet
1110,Female,46,Technology,2,2100.0,Credit Card,11/5/22,Istinye Park
1111,Female,51,Technology,2,2100.0,Cash,19/01/2023,Metrocity
1112,Female,59,Clothing,2,600.16,Cash,6/11/22,Kanyon
1113,Female,48,Technology,1,1050.0,Credit Card,18/04/2022,Emaar Square Mall
1114,Female,19,Technology,5,5250.0,Credit Card,13/06/2022,Mall of Istanbul
1115,Male,25,Clothing,3,900.24,Credit Card,9/6/22,Metrocity
1116,Female,69,Technology,2,2100.0,Credit Card,13/04/2022,Metropol AVM
1117,Female,69,Clothing,1,300.08,Cash,12/8/22,Emaar Square Mall
1118,Female,32,Books,3,45.45,Credit Card,29/12/2021,Kanyon
1119,Female,67,Shoes,5,3000.85,Credit Card,17/02/2021,Istinye Park
1120,Female,66,Technology,2,2100.0,Cash,10/4/21,Istinye Park
1121,Female,50,Technology,3,3150.0,Credit Card,7/8/21,Metropol AVM
1122,Male,22,Cosmetics,5,203.3,Credit Card,14/11/2021,Istinye Park
1123,Female,18,Clothing,3,900.24,Debit Card,2/10/22,Kanyon
1124,Female,25,Books,5,75.75,Credit Card,11/11/22,Mall of Istanbul
1125,Male,50,Food & Beverage,2,10.46,Credit Card,3/12/22,Mall of Istanbul
1126,Female,45,Clothing,2,600.16,Credit Card,9/3/21,Metrocity
1127,Female,61,Toys,5,179.2,Cash,18/06/2022,Istinye Park
1128,Male,58,Cosmetics,4,162.64,Credit Card,22/01/2021,Metrocity
1129,Female,42,Food & Beverage,5,26.15,Credit Card,19/07/2022,Cevahir AVM
1130,Female,51,Food & Beverage,4,20.92,Credit Card,25/12/2021,Metrocity
1131,Female,24,Cosmetics,5,203.3,Cash,18/06/2022,Metrocity
1132,Male,59,Cosmetics,4,162.64,Cash,12/11/21,Kanyon
1133,Female,57,Food & Beverage,5,26.15,Cash,10/2/21,Mall of Istanbul
1134,Female,63,Food & Beverage,1,5.23,Debit Card,10/10/21,Metropol AVM
1135,Female,54,Food & Beverage,5,26.15,Cash,29/01/2023,Kanyon
1136,Male,62,Books,2,30.3,Cash,23/06/2021,Mall of Istanbul
1137,Female,19,Shoes,4,2400.68,Cash,21/06/2022,Cevahir AVM
1138,Female,25,Food & Beverage,4,20.92,Cash,5/6/22,Zorlu Center
1139,Male,44,Cosmetics,5,203.3,Cash,12/2/21,Mall of Istanbul
1140,Female,34,Cosmetics,1,40.66,Credit Card,10/10/21,Zorlu Center
1141,Female,21,Clothing,2,600.16,Credit Card,4/6/22,Istinye Park
1142,Female,63,Technology,5,5250.0,Cash,5/10/22,Mall of Istanbul
1143,Female,32,Cosmetics,3,121.98,Cash,22/02/2023,Metrocity
1144,Female,33,Books,1,15.15,Debit Card,17/10/2022,Cevahir AVM
1145,Female,22,Books,5,75.75,Cash,20/08/2022,Kanyon
1146,Female,38,Clothing,3,900.24,Debit Card,29/06/2022,Kanyon
1147,Male,64,Toys,3,107.52,Cash,4/9/21,Kanyon
1148,Female,40,Clothing,4,1200.32,Cash,6/10/21,Istinye Park
1149,Female,59,Shoes,1,600.17,Debit Card,17/02/2023,Metrocity
1150,Male,18,Clothing,3,900.24,Credit Card,28/04/2021,Viaport Outlet
1151,Female,49,Technology,2,2100.0,Debit Card,27/10/2022,Forum Istanbul
1152,Female,50,Toys,5,179.2,Credit Card,15/09/2022,Metrocity
1153,Male,39,Food & Beverage,5,26.15,Debit Card,16/06/2021,Mall of Istanbul
1154,Female,55,Clothing,2,600.16,Debit Card,9/2/22,Kanyon
1155,Male,59,Cosmetics,3,121.98,Cash,2/2/22,Metrocity
1156,Female,19,Clothing,2,600.16,Credit Card,22/11/2021,Kanyon
1157,Female,50,Books,2,30.3,Cash,27/08/2022,Zorlu Center
1158,Male,27,Clothing,5,1500.4,Cash,31/07/2021,Mall of Istanbul
1159,Female,51,Cosmetics,4,162.64,Cash,2/12/22,Kanyon
1160,Female,57,Toys,4,143.36,Cash,10/1/22,Kanyon
1161,Female,23,Clothing,5,1500.4,Cash,20/08/2022,Mall of Istanbul
1162,Female,32,Clothing,5,1500.4,Cash,2/9/21,Kanyon
1163,Female,48,Clothing,1,300.08,Credit Card,9/10/22,Kanyon
1164,Female,69,Cosmetics,2,81.32,Credit Card,19/09/2022,Kanyon
1165,Male,36,Food & Beverage,3,15.69,Credit Card,15/06/2021,Mall of Istanbul
1166,Female,62,Clothing,3,900.24,Credit Card,14/12/2021,Istinye Park
1167,Female,49,Technology,4,4200.0,Cash,9/5/22,Mall of Istanbul
1168,Female,31,Cosmetics,4,162.64,Credit Card,5/12/21,Metrocity
1169,Male,18,Toys,2,71.68,Cash,21/06/2022,Kanyon
1170,Male,54,Cosmetics,2,81.32,Debit Card,18/11/2022,Forum Istanbul
1171,Female,42,Food & Beverage,1,5.23,Credit Card,7/10/22,Kanyon
1172,Male,64,Food & Beverage,3,15.69,Cash,8/2/22,Metrocity
1173,Male,44,Clothing,5,1500.4,Credit Card,9/5/22,Mall of Istanbul
1174,Female,43,Clothing,2,600.16,Credit Card,1/3/22,Kanyon
1175,Male,43,Clothing,2,600.16,Credit Card,29/01/2022,Forum Istanbul
1176,Male,30,Souvenir,2,23.46,Debit Card,29/06/2022,Cevahir AVM
1177,Female,67,Clothing,1,300.08,Credit Card,11/2/21,Kanyon
1178,Male,66,Food & Beverage,3,15.69,Cash,25/02/2022,Metropol AVM
1179,Male,33,Food & Beverage,2,10.46,Credit Card,7/10/21,Mall of Istanbul
1180,Female,55,Souvenir,2,23.46,Credit Card,22/01/2022,Metropol AVM
1181,Male,41,Clothing,4,1200.32,Cash,29/09/2022,Mall of Istanbul
1182,Male,50,Food & Beverage,1,5.23,Credit Card,21/11/2021,Metrocity
1183,Female,59,Clothing,2,600.16,Cash,30/03/2021,Istinye Park
1184,Male,63,Souvenir,1,11.73,Credit Card,11/12/22,Cevahir AVM
1185,Female,47,Clothing,2,600.16,Credit Card,31/01/2022,Kanyon
1186,Female,62,Books,2,30.3,Debit Card,19/05/2022,Mall of Istanbul
1187,Female,55,Food & Beverage,5,26.15,Credit Card,21/09/2021,Metrocity
1188,Female,20,Cosmetics,3,121.98,Debit Card,12/2/21,Metrocity
1189,Female,45,Clothing,1,300.08,Credit Card,2/9/21,Kanyon
1190,Female,21,Clothing,4,1200.32,Credit Card,6/10/22,Kanyon
1191,Female,56,Clothing,2,600.16,Cash,22/01/2022,Forum Istanbul
1192,Female,31,Cosmetics,3,121.98,Credit Card,15/02/2022,Istinye Park
1193,Male,38,Books,2,30.3,Cash,22/02/2023,Kanyon
1194,Female,43,Clothing,1,300.08,Cash,8/1/21,Metrocity
1195,Female,38,Clothing,3,900.24,Cash,15/01/2021,Kanyon
1196,Male,53,Shoes,3,1800.51,Cash,27/02/2021,Forum Istanbul
1197,Female,60,Souvenir,1,11.73,Debit Card,16/03/2022,Kanyon
1198,Female,32,Cosmetics,2,81.32,Cash,16/05/2021,Cevahir AVM
1199,Female,51,Clothing,2,600.16,Credit Card,11/1/21,Kanyon
1200,Male,46,Cosmetics,2,81.32,Debit Card,3/11/22,Kanyon
1201,Female,63,Cosmetics,5,203.3,Cash,19/01/2022,Viaport Outlet
1202,Female,28,Shoes,4,2400.68,Credit Card,6/10/21,Metrocity
1203,Female,50,Clothing,5,1500.4,Cash,18/05/2022,Cevahir AVM
1204,Female,26,Cosmetics,1,40.66,Credit Card,20/01/2023,Mall of Istanbul
1205,Male,26,Clothing,4,1200.32,Cash,5/1/21,Istinye Park
1206,Male,26,Souvenir,5,58.65,Cash,24/02/2022,Mall of Istanbul
1207,Female,57,Clothing,1,300.08,Cash,31/10/2021,Kanyon
1208,Female,49,Food & Beverage,4,20.92,Cash,8/5/21,Metrocity
1209,Female,67,Cosmetics,2,81.32,Cash,2/11/22,Kanyon
1210,Male,25,Toys,3,107.52,Credit Card,13/01/2023,Kanyon
1211,Female,44,Cosmetics,4,162.64,Credit Card,28/09/2021,Metrocity
1212,Female,54,Clothing,4,1200.32,Cash,16/04/2022,Kanyon
1213,Male,67,Cosmetics,4,162.64,Credit Card,24/05/2022,Zorlu Center
1214,Female,43,Food & Beverage,2,10.46,Credit Card,26/11/2022,Mall of Istanbul
1215,Female,30,Cosmetics,1,40.66,Debit Card,13/02/2023,Emaar Square Mall
1216,Female,22,Cosmetics,1,40.66,Cash,25/03/2021,Metrocity
1217,Male,30,Toys,5,179.2,Cash,21/09/2021,Metrocity
1218,Male,56,Shoes,5,3000.85,Credit Card,5/2/22,Mall of Istanbul
1219,Female,46,Food & Beverage,1,5.23,Debit Card,1/9/21,Kanyon
1220,Male,37,Clothing,1,300.08,Cash,25/10/2021,Metropol AVM
1221,Female,26,Cosmetics,2,81.32,Credit Card,13/03/2022,Istinye Park
1222,Female,63,Clothing,5,1500.4,Cash,23/03/2022,Metropol AVM
1223,Female,62,Food & Beverage,5,26.15,Debit Card,27/03/2022,Metrocity
1224,Female,19,Food & Beverage,3,15.69,Cash,14/09/2022,Kanyon
1225,Female,59,Clothing,5,1500.4,Cash,29/12/2021,Emaar Square Mall
1226,Male,68,Clothing,2,600.16,Credit Card,6/11/21,Mall of Istanbul
1227,Female,29,Clothing,2,600.16,Cash,20/04/2021,Mall of Istanbul
1228,Female,53,Clothing,3,900.24,Credit Card,8/10/22,Mall of Istanbul
1229,Male,26,Technology,2,2100.0,Cash,27/06/2021,Istinye Park
1230,Female,69,Cosmetics,2,81.32,Debit Card,11/10/21,Forum Istanbul
1231,Female,59,Shoes,5,3000.85,Credit Card,22/03/2022,Kanyon
1232,Male,37,Technology,1,1050.0,Cash,17/01/2021,Emaar Square Mall
1233,Male,41,Cosmetics,5,203.3,Cash,26/02/2022,Metropol AVM
1234,Male,51,Cosmetics,3,121.98,Cash,30/09/2021,Kanyon
1235,Male,37,Food & Beverage,5,26.15,Cash,23/03/2022,Istinye Park
1236,Female,46,Souvenir,5,58.65,Cash,11/8/22,Mall of Istanbul
1237,Male,56,Technology,3,3150.0,Cash,6/1/23,Mall of Istanbul
1238,Female,38,Toys,1,35.84,Credit Card,4/9/22,Kanyon
1239,Female,29,Books,3,45.45,Credit Card,8/3/22,Metropol AVM
1240,Female,47,Food & Beverage,5,26.15,Cash,17/08/2022,Kanyon
1241,Female,31,Shoes,5,3000.85,Cash,27/07/2022,Mall of Istanbul
1242,Female,52,Shoes,1,600.17,Cash,30/11/2021,Zorlu Center
1243,Male,48,Shoes,4,2400.68,Debit Card,10/5/21,Metrocity
1244,Male,64,Clothing,3,900.24,Credit Card,23/04/2022,Metropol AVM
1245,Female,52,Food & Beverage,5,26.15,Debit Card,10/10/21,Kanyon
1246,Male,19,Cosmetics,1,40.66,Cash,9/5/21,Kanyon
1247,Female,35,Shoes,2,1200.34,Cash,18/03/2022,Metropol AVM
1248,Male,25,Clothing,3,900.24,Cash,19/11/2022,Zorlu Center
1249,Male,52,Cosmetics,4,162.64,Debit Card,2/1/21,Kanyon
1250,Male,45,Clothing,1,300.08,Cash,28/10/2021,Zorlu Center
1251,Female,22,Clothing,2,600.16,Credit Card,21/02/2022,Metrocity
1252,Female,67,Food & Beverage,3,15.69,Cash,7/6/22,Emaar Square Mall
1253,Female,24,Food & Beverage,5,26.15,Cash,3/3/22,Kanyon
1254,Male,39,Food & Beverage,2,10.46,Credit Card,19/03/2022,Istinye Park
1255,Female,34,Souvenir,2,23.46,Credit Card,15/07/2022,Kanyon
1256,Male,51,Food & Beverage,2,10.46,Debit Card,20/02/2021,Emaar Square Mall
1257,Female,27,Food & Beverage,1,5.23,Credit Card,4/3/22,Kanyon
1258,Male,41,Toys,2,71.68,Credit Card,5/10/21,Kanyon
1259,Female,61,Clothing,3,900.24,Credit Card,17/02/2022,Kanyon
1260,Male,22,Clothing,2,600.16,Cash,2/3/21,Istinye Park
1261,Male,59,Food & Beverage,5,26.15,Debit Card,22/01/2023,Mall of Istanbul
1262,Female,38,Souvenir,5,58.65,Cash,22/04/2022,Mall of Istanbul
1263,Male,60,Clothing,3,900.24,Debit Card,21/11/2021,Metrocity
1264,Male,49,Food & Beverage,3,15.69,Credit Card,23/10/2021,Kanyon
1265,Female,45,Clothing,2,600.16,Cash,18/12/2022,Mall of Istanbul
1266,Female,29,Technology,2,2100.0,Cash,20/02/2023,Metropol AVM
1267,Male,62,Cosmetics,3,121.98,Cash,16/12/2022,Istinye Park
1268,Female,62,Clothing,2,600.16,Debit Card,10/4/21,Istinye Park
1269,Female,56,Clothing,2,600.16,Cash,6/1/23,Mall of Istanbul
1270,Female,23,Toys,2,71.68,Debit Card,14/08/2022,Metropol AVM
1271,Male,63,Cosmetics,4,162.64,Credit Card,26/10/2021,Kanyon
1272,Female,40,Toys,5,179.2,Cash,15/08/2022,Viaport Outlet
1273,Female,64,Food & Beverage,1,5.23,Debit Card,19/09/2021,Mall of Istanbul
1274,Male,51,Clothing,4,1200.32,Cash,30/06/2022,Metrocity
1275,Female,63,Food & Beverage,3,15.69,Credit Card,26/02/2022,Istinye Park
1276,Male,69,Food & Beverage,4,20.92,Credit Card,12/12/22,Mall of Istanbul
1277,Male,42,Souvenir,4,46.92,Credit Card,19/10/2021,Kanyon
1278,Female,31,Food & Beverage,4,20.92,Debit Card,15/06/2022,Kanyon
1279,Male,18,Toys,5,179.2,Cash,12/11/21,Metropol AVM
1280,Female,18,Clothing,5,1500.4,Cash,7/9/21,Kanyon
1281,Male,56,Food & Beverage,3,15.69,Debit Card,19/10/2022,Metrocity
1282,Male,41,Shoes,4,2400.68,Cash,7/1/22,Zorlu Center
1283,Male,66,Food & Beverage,1,5.23,Cash,3/3/22,Viaport Outlet
1284,Female,67,Clothing,4,1200.32,Cash,28/07/2021,Zorlu Center
1285,Female,56,Shoes,1,600.17,Credit Card,21/09/2021,Metropol AVM
1286,Male,25,Clothing,1,300.08,Credit Card,16/07/2022,Metropol AVM
1287,Female,57,Toys,4,143.36,Cash,29/12/2021,Istinye Park
1288,Male,23,Food & Beverage,1,5.23,Cash,7/3/21,Mall of Istanbul
1289,Male,25,Clothing,5,1500.4,Cash,24/07/2021,Forum Istanbul
1290,Female,52,Souvenir,2,23.46,Debit Card,11/1/21,Kanyon
1291,Female,21,Clothing,3,900.24,Debit Card,1/12/21,Metropol AVM
1292,Female,64,Cosmetics,2,81.32,Credit Card,20/01/2023,Metrocity
1293,Male,31,Shoes,3,1800.51,Credit Card,21/06/2022,Kanyon
1294,Male,41,Food & Beverage,1,5.23,Cash,19/12/2021,Metrocity
1295,Male,33,Food & Beverage,3,15.69,Cash,19/06/2021,Kanyon
1296,Female,60,Toys,4,143.36,Cash,5/1/22,Metrocity
1297,Female,53,Shoes,1,600.17,Debit Card,16/05/2022,Emaar Square Mall
1298,Male,22,Clothing,1,300.08,Cash,27/11/2021,Metrocity
1299,Male,68,Toys,2,71.68,Debit Card,24/01/2022,Cevahir AVM
1300,Female,46,Clothing,4,1200.32,Credit Card,20/12/2022,Emaar Square Mall
1301,Female,66,Cosmetics,4,162.64,Credit Card,20/10/2021,Kanyon
1302,Female,25,Food & Beverage,2,10.46,Credit Card,17/02/2022,Mall of Istanbul
1303,Male,23,Clothing,1,300.08,Debit Card,25/07/2021,Istinye Park
1304,Female,50,Clothing,3,900.24,Debit Card,4/12/22,Mall of Istanbul
1305,Male,64,Clothing,3,900.24,Debit Card,5/11/21,Mall of Istanbul
1306,Female,46,Technology,5,5250.0,Credit Card,6/10/22,Metropol AVM
1307,Male,56,Cosmetics,2,81.32,Cash,20/05/2021,Viaport Outlet
1308,Female,25,Cosmetics,3,121.98,Cash,8/8/21,Kanyon
1309,Female,69,Toys,4,143.36,Credit Card,5/7/21,Emaar Square Mall
1310,Female,47,Clothing,2,600.16,Cash,16/11/2021,Mall of Istanbul
1311,Female,23,Cosmetics,5,203.3,Cash,28/10/2021,Kanyon
1312,Male,45,Toys,5,179.2,Credit Card,10/12/22,Kanyon
1313,Female,68,Cosmetics,1,40.66,Cash,9/1/22,Cevahir AVM
1314,Male,48,Technology,3,3150.0,Cash,20/09/2022,Kanyon
1315,Female,47,Souvenir,3,35.19,Cash,12/10/21,Zorlu Center
1316,Female,42,Food & Beverage,2,10.46,Credit Card,11/5/21,Kanyon
1317,Female,48,Food & Beverage,1,5.23,Credit Card,26/02/2023,Istinye Park
1318,Female,35,Cosmetics,2,81.32,Cash,1/9/21,Kanyon
1319,Female,66,Food & Beverage,5,26.15,Debit Card,11/5/22,Kanyon
1320,Male,42,Cosmetics,3,121.98,Debit Card,16/06/2021,Kanyon
1321,Female,67,Toys,4,143.36,Credit Card,10/3/21,Metropol AVM
1322,Male,25,Food & Beverage,3,15.69,Cash,29/10/2021,Metropol AVM
1323,Female,40,Cosmetics,3,121.98,Debit Card,8/10/21,Kanyon
1324,Male,34,Clothing,4,1200.32,Cash,12/2/22,Metrocity
1325,Female,67,Clothing,1,300.08,Cash,5/6/21,Mall of Istanbul
1326,Female,40,Clothing,2,600.16,Cash,11/6/22,Forum Istanbul
1327,Female,48,Cosmetics,3,121.98,Credit Card,7/12/22,Metropol AVM
1328,Female,35,Cosmetics,3,121.98,Debit Card,2/12/21,Zorlu Center
1329,Male,26,Toys,1,35.84,Cash,19/06/2022,Istinye Park
1330,Male,56,Clothing,4,1200.32,Credit Card,17/10/2021,Zorlu Center
1331,Female,25,Clothing,3,900.24,Cash,10/5/22,Mall of Istanbul
1332,Female,47,Shoes,5,3000.85,Cash,3/7/21,Metrocity
1333,Female,51,Shoes,1,600.17,Cash,27/04/2022,Metrocity
1334,Female,48,Clothing,2,600.16,Credit Card,10/11/21,Forum Istanbul
1335,Male,48,Clothing,3,900.24,Credit Card,1/4/21,Mall of Istanbul
1336,Male,35,Cosmetics,3,121.98,Credit Card,15/06/2022,Emaar Square Mall
1337,Male,26,Clothing,4,1200.32,Credit Card,3/2/23,Viaport Outlet
1338,Female,68,Clothing,4,1200.32,Cash,17/04/2021,Kanyon
1339,Female,33,Cosmetics,5,203.3,Credit Card,23/04/2021,Mall of Istanbul
1340,Female,31,Books,2,30.3,Debit Card,16/04/2022,Kanyon
1341,Male,58,Toys,4,143.36,Debit Card,17/11/2021,Cevahir AVM
1342,Male,19,Clothing,3,900.24,Credit Card,25/06/2021,Istinye Park
1343,Female,68,Technology,3,3150.0,Cash,15/03/2021,Metropol AVM
1344,Male,44,Clothing,5,1500.4,Cash,4/11/22,Mall of Istanbul
1345,Female,25,Clothing,4,1200.32,Debit Card,8/2/21,Viaport Outlet
1346,Male,30,Toys,1,35.84,Cash,17/07/2021,Mall of Istanbul
1347,Female,40,Technology,1,1050.0,Cash,28/08/2022,Viaport Outlet
1348,Female,47,Cosmetics,2,81.32,Cash,25/01/2021,Mall of Istanbul
1349,Female,61,Cosmetics,3,121.98,Debit Card,16/10/2021,Metropol AVM
1350,Male,66,Toys,1,35.84,Debit Card,3/3/22,Mall of Istanbul
1351,Female,34,Clothing,3,900.24,Debit Card,8/3/22,Mall of Istanbul
1352,Male,21,Cosmetics,1,40.66,Cash,7/8/22,Cevahir AVM
1353,Female,42,Cosmetics,1,40.66,Cash,18/09/2022,Kanyon
1354,Male,24,Books,3,45.45,Cash,28/04/2021,Mall of Istanbul
1355,Female,21,Food & Beverage,2,10.46,Credit Card,27/06/2022,Istinye Park
1356,Female,38,Clothing,2,600.16,Credit Card,8/11/22,Forum Istanbul
1357,Male,31,Clothing,3,900.24,Credit Card,23/09/2021,Metrocity
1358,Female,44,Cosmetics,1,40.66,Credit Card,7/6/21,Mall of Istanbul
1359,Male,27,Shoes,5,3000.85,Cash,4/3/21,Viaport Outlet
1360,Male,69,Shoes,2,1200.34,Credit Card,27/01/2021,Forum Istanbul
1361,Female,41,Clothing,5,1500.4,Cash,5/10/22,Istinye Park
1362,Female,47,Clothing,4,1200.32,Credit Card,7/3/23,Istinye Park
1363,Female,41,Food & Beverage,3,15.69,Credit Card,15/08/2022,Istinye Park
1364,Female,24,Souvenir,4,46.92,Debit Card,26/01/2023,Cevahir AVM
1365,Female,18,Cosmetics,1,40.66,Cash,1/5/22,Emaar Square Mall
1366,Female,64,Cosmetics,2,81.32,Cash,25/01/2022,Forum Istanbul
1367,Male,62,Clothing,5,1500.4,Cash,21/11/2021,Zorlu Center
1368,Female,38,Toys,5,179.2,Credit Card,29/01/2021,Istinye Park
1369,Female,52,Clothing,3,900.24,Cash,20/10/2022,Istinye Park
1370,Female,67,Cosmetics,1,40.66,Credit Card,3/6/21,Kanyon
1371,Female,60,Clothing,2,600.16,Credit Card,16/01/2021,Viaport Outlet
1372,Female,25,Clothing,5,1500.4,Credit Card,26/08/2021,Mall of Istanbul
1373,Female,52,Toys,5,179.2,Debit Card,1/3/23,Viaport Outlet
1374,Male,33,Cosmetics,5,203.3,Cash,5/3/23,Mall of Istanbul
1375,Female,49,Clothing,2,600.16,Cash,26/07/2022,Mall of Istanbul
1376,Female,67,Food & Beverage,2,10.46,Debit Card,1/3/22,Cevahir AVM
1377,Female,41,Clothing,4,1200.32,Cash,16/05/2022,Metropol AVM
1378,Female,65,Clothing,2,600.16,Cash,21/05/2022,Metrocity
1379,Female,57,Shoes,1,600.17,Cash,8/7/22,Mall of Istanbul
1380,Male,18,Cosmetics,4,162.64,Credit Card,25/05/2022,Kanyon
1381,Female,27,Shoes,2,1200.34,Cash,14/05/2022,Cevahir AVM
1382,Male,46,Technology,5,5250.0,Debit Card,7/8/22,Mall of Istanbul
1383,Male,36,Clothing,4,1200.32,Cash,23/10/2022,Metropol AVM
1384,Male,30,Cosmetics,5,203.3,Credit Card,16/04/2022,Zorlu Center
1385,Female,64,Technology,4,4200.0,Cash,3/5/21,Mall of Istanbul
1386,Male,38,Cosmetics,1,40.66,Cash,22/05/2021,Emaar Square Mall
1387,Male,21,Shoes,4,2400.68,Debit Card,17/01/2021,Istinye Park
1388,Female,64,Shoes,5,3000.85,Credit Card,27/01/2022,Metrocity
1389,Female,58,Shoes,1,600.17,Cash,7/9/22,Kanyon
1390,Male,28,Clothing,1,300.08,Cash,24/02/2021,Zorlu Center
1391,Male,21,Toys,4,143.36,Credit Card,14/10/2022,Zorlu Center
1392,Male,37,Souvenir,4,46.92,Cash,2/4/21,Kanyon
1393,Female,30,Technology,2,2100.0,Debit Card,10/5/22,Metrocity
1394,Female,36,Clothing,1,300.08,Credit Card,10/1/22,Kanyon
1395,Male,69,Toys,4,143.36,Debit Card,23/10/2022,Metrocity
1396,Male,21,Clothing,2,600.16,Debit Card,25/02/2021,Viaport Outlet
1397,Female,68,Technology,5,5250.0,Credit Card,15/02/2022,Cevahir AVM
1398,Female,42,Books,5,75.75,Cash,16/10/2022,Emaar Square Mall
1399,Male,44,Cosmetics,5,203.3,Credit Card,14/09/2021,Istinye Park
1400,Female,39,Shoes,3,1800.51,Cash,11/12/22,Mall of Istanbul
1401,Female,63,Books,3,45.45,Cash,12/10/22,Viaport Outlet
1402,Female,61,Food & Beverage,2,10.46,Cash,5/8/21,Metrocity
1403,Female,38,Food & Beverage,5,26.15,Credit Card,10/12/21,Mall of Istanbul
1404,Male,19,Clothing,2,600.16,Debit Card,14/11/2022,Mall of Istanbul
1405,Female,35,Cosmetics,5,203.3,Debit Card,25/01/2023,Cevahir AVM
1406,Female,26,Clothing,4,1200.32,Cash,27/05/2021,Metrocity
1407,Female,32,Food & Beverage,5,26.15,Debit Card,20/04/2021,Mall of Istanbul
1408,Male,59,Shoes,2,1200.34,Credit Card,11/5/22,Zorlu Center
1409,Male,29,Clothing,2,600.16,Cash,23/11/2022,Cevahir AVM
1410,Male,52,Souvenir,1,11.73,Credit Card,15/01/2021,Cevahir AVM
1411,Female,55,Shoes,4,2400.68,Cash,25/07/2022,Metrocity
1412,Male,46,Technology,5,5250.0,Cash,22/04/2022,Mall of Istanbul
1413,Male,67,Shoes,1,600.17,Cash,16/11/2021,Kanyon
1414,Male,26,Clothing,1,300.08,Debit Card,29/07/2021,Metrocity
1415,Male,21,Books,2,30.3,Credit Card,19/01/2021,Metrocity
1416,Female,57,Clothing,2,600.16,Cash,30/07/2021,Kanyon
1417,Female,24,Clothing,1,300.08,Credit Card,8/10/22,Forum Istanbul
1418,Female,35,Shoes,1,600.17,Debit Card,9/1/21,Istinye Park
1419,Female,47,Shoes,2,1200.34,Cash,4/2/21,Istinye Park
1420,Female,52,Books,5,75.75,Debit Card,7/5/22,Mall of Istanbul
1421,Female,42,Clothing,4,1200.32,Cash,12/12/22,Mall of Istanbul
1422,Female,48,Books,2,30.3,Debit Card,22/06/2022,Viaport Outlet
1423,Female,67,Clothing,1,300.08,Credit Card,16/09/2022,Kanyon
1424,Male,61,Toys,1,35.84,Cash,20/10/2021,Kanyon
1425,Female,21,Clothing,5,1500.4,Cash,25/09/2021,Cevahir AVM
1426,Female,41,Cosmetics,5,203.3,Cash,22/03/2022,Metropol AVM
1427,Female,33,Technology,2,2100.0,Cash,2/2/23,Mall of Istanbul
1428,Female,61,Shoes,5,3000.85,Cash,8/10/21,Mall of Istanbul
1429,Male,50,Food & Beverage,3,15.69,Credit Card,22/04/2022,Mall of Istanbul
1430,Female,56,Clothing,4,1200.32,Credit Card,12/9/22,Viaport Outlet
1431,Male,68,Clothing,3,900.24,Cash,27/01/2021,Forum Istanbul
1432,Male,42,Shoes,4,2400.68,Cash,19/01/2021,Kanyon
1433,Female,35,Souvenir,4,46.92,Credit Card,18/12/2022,Mall of Istanbul
1434,Female,63,Clothing,5,1500.4,Debit Card,15/08/2021,Mall of Istanbul
1435,Female,19,Technology,3,3150.0,Debit Card,17/03/2022,Zorlu Center
1436,Female,36,Clothing,3,900.24,Cash,13/01/2021,Mall of Istanbul
1437,Male,44,Clothing,5,1500.4,Credit Card,4/2/23,Istinye Park
1438,Female,61,Cosmetics,1,40.66,Cash,6/1/21,Kanyon
1439,Female,62,Clothing,1,300.08,Cash,28/10/2022,Metrocity
1440,Female,50,Clothing,2,600.16,Credit Card,9/6/22,Metrocity
1441,Female,60,Cosmetics,4,162.64,Credit Card,2/2/22,Mall of Istanbul
1442,Male,59,Food & Beverage,1,5.23,Credit Card,22/11/2021,Metropol AVM
1443,Female,67,Shoes,2,1200.34,Cash,4/3/21,Cevahir AVM
1444,Male,31,Food & Beverage,2,10.46,Credit Card,12/1/23,Cevahir AVM
1445,Female,61,Food & Beverage,2,10.46,Cash,31/10/2021,Mall of Istanbul
1446,Female,61,Toys,1,35.84,Credit Card,21/06/2022,Mall of Istanbul
1447,Male,43,Food & Beverage,1,5.23,Debit Card,21/02/2022,Metrocity
1448,Male,19,Toys,3,107.52,Credit Card,26/01/2022,Istinye Park
1449,Female,52,Toys,2,71.68,Cash,5/11/21,Istinye Park
1450,Female,32,Clothing,2,600.16,Credit Card,25/10/2022,Forum Istanbul
1451,Female,59,Technology,2,2100.0,Credit Card,4/6/21,Kanyon
1452,Male,47,Clothing,1,300.08,Cash,24/04/2022,Zorlu Center
