invoice_no,customer_id,gender, age ,category,quantity,Price,payment_method,invoice_date,shopping_mall
I182532,C770798,Male,56,Cosmetics,2,81.32,Cash,20/05/2021,Viaport Outlet
I156973,C205515,Female,25,Cosmetics,3,121.98,Cash,8/8/21,Kanyon
I101810,C259949,Female,69,Toys,4,143.36,Credit Card,5/7/21,Emaar Square Mall
I222947,C765386,Female,47,Clothing,2,600.16,Cash,16/11/2021,Mall of Istanbul
I336888,C563634,Female,23,Cosmetics,5,203.3,Cash,28/10/2021,Kanyon
I872254,C319442,Male,45,Toys,5,179.2,Credit Card,10/12/22,Kanyon
I318857,C275595,Female,68,Cosmetics,1,40.66,Cash,9/1/22,Cevahir AVM
I165662,C645878,Male,48,Technology,3,3150.0,Cash,20/09/2022,Kanyon
I281090,C287856,Female,47,Souvenir,3,35.19,Cash,12/10/21,Zorlu Center
I973058,C454796,Female,42,Food & Beverage,2,10.46,Credit Card,11/5/21,Kanyon
I281414,C159441,Female,48,Food & Beverage,1,5.23,Credit Card,26/02/2023,Istinye Park
I294874,C720474,Female,35,Cosmetics,2,81.32,Cash,1/9/21,Kanyon
I246735,C326301,Female,66,Food & Beverage,5,26.15,Debit Card,11/5/22,Kanyon
I229281,C837750,Male,42,Cosmetics,3,121.98,Debit Card,16/06/2021,Kanyon
I188801,C221681,Female,67,Toys,4,143.36,Credit Card,10/3/21,Metropol AVM
I321817,C307523,Male,25,Food & Beverage,3,15.69,Cash,29/10/2021,Metropol AVM
I310116,C183034,Female,40,Cosmetics,3,121.98,Debit Card,8/10/21,Kanyon
I295041,C300781,Male,34,Clothing,4,1200.32,Cash,12/2/22,Metrocity
I183081,C180983,Female,67,Clothing,1,300.08,Cash,5/6/21,Mall of Istanbul
I126056,C650109,Female,40,Clothing,2,600.16,Cash,11/6/22,Forum Istanbul
I218789,C339033,Female,48,Cosmetics,3,121.98,Credit Card,7/12/22,Metropol AVM
I274576,C396617,Female,35,Cosmetics,3,121.98,Debit Card,2/12/21,Zorlu Center
I815231,C178537,Male,26,Toys,1,35.84,Cash,19/06/2022,Istinye Park
I108808,C260636,Male,56,Clothing,4,1200.32,Credit Card,17/10/2021,Zorlu Center
I118593,C261501,Female,25,Clothing,3,900.24,Cash,10/5/22,Mall of Istanbul
I102415,C279084,Female,47,Shoes,5,3000.85,Cash,3/7/21,Metrocity
I144858,C474549,Female,51,Shoes,1,600.17,Cash,27/04/2022,Metrocity
I219118,C308328,Female,48,Clothing,2,600.16,Credit Card,10/11/21,Forum Istanbul
I655202,C232887,Male,48,Clothing,3,900.24,Credit Card,1/4/21,Mall of Istanbul
I140657,C229860,Male,35,Cosmetics,3,121.98,Credit Card,15/06/2022,Emaar Square Mall
I168339,C316042,Male,26,Clothing,4,1200.32,Credit Card,3/2/23,Viaport Outlet
I984358,C221085,Female,68,Clothing,4,1200.32,Cash,17/04/2021,Kanyon
I317821,C249382,Female,33,Cosmetics,5,203.3,Credit Card,23/04/2021,Mall of Istanbul
I266403,C582684,Female,31,Books,2,30.3,Debit Card,16/04/2022,Kanyon
I307675,C265953,Male,58,Toys,4,143.36,Debit Card,17/11/2021,Cevahir AVM
I305142,C725281,Male,19,Clothing,3,900.24,Credit Card,25/06/2021,Istinye Park
I242907,C119340,Female,68,Technology,3,3150.0,Cash,15/03/2021,Metropol AVM
I183468,C179060,Male,44,Clothing,5,1500.4,Cash,4/11/22,Mall of Istanbul
I111682,C298536,Female,25,Clothing,4,1200.32,Debit Card,8/2/21,Viaport Outlet
I119486,C213609,Male,30,Toys,1,35.84,Cash,17/07/2021,Mall of Istanbul
I664214,C303243,Female,40,Technology,1,1050.0,Cash,28/08/2022,Viaport Outlet
I291058,C461713,Female,47,Cosmetics,2,81.32,Cash,25/01/2021,Mall of Istanbul
I890651,C166063,Female,61,Cosmetics,3,121.98,Debit Card,16/10/2021,Metropol AVM
I722123,C371207,Male,66,Toys,1,35.84,Debit Card,3/3/22,Mall of Istanbul
I262817,C165129,Female,34,Clothing,3,900.24,Debit Card,8/3/22,Mall of Istanbul
I259177,C333857,Male,21,Cosmetics,1,40.66,Cash,7/8/22,Cevahir AVM
I884010,C190394,Female,42,Cosmetics,1,40.66,Cash,18/09/2022,Kanyon
I308395,C213791,Male,24,Books,3,45.45,Cash,28/04/2021,Mall of Istanbul
I211321,C304640,Female,21,Food & Beverage,2,10.46,Credit Card,27/06/2022,Istinye Park
I992164,C312960,Female,38,Clothing,2,600.16,Credit Card,8/11/22,Forum Istanbul
I178756,C168400,Male,31,Clothing,3,900.24,Credit Card,23/09/2021,Metrocity
I148674,C263831,Female,44,Cosmetics,1,40.66,Credit Card,7/6/21,Mall of Istanbul
I208672,C689876,Male,27,Shoes,5,3000.85,Cash,4/3/21,Viaport Outlet
I194690,C235672,Male,69,Shoes,2,1200.34,Credit Card,27/01/2021,Forum Istanbul
I218554,C374574,Female,41,Clothing,5,1500.4,Cash,5/10/22,Istinye Park
I290126,C712308,Female,47,Clothing,4,1200.32,Credit Card,7/3/23,Istinye Park
I173456,C691186,Female,41,Food & Beverage,3,15.69,Credit Card,15/08/2022,Istinye Park
I169270,C182989,Female,24,Souvenir,4,46.92,Debit Card,26/01/2023,Cevahir AVM
I165329,C135310,Female,18,Cosmetics,1,40.66,Cash,1/5/22,Emaar Square Mall
I192944,C239891,Female,64,Cosmetics,2,81.32,Cash,25/01/2022,Forum Istanbul
I228150,C141094,Male,62,Clothing,5,1500.4,Cash,21/11/2021,Zorlu Center
I441312,C747241,Female,38,Toys,5,179.2,Credit Card,29/01/2021,Istinye Park
I504755,C205397,Female,52,Clothing,3,900.24,Cash,20/10/2022,Istinye Park
I317072,C132011,Female,67,Cosmetics,1,40.66,Credit Card,3/6/21,Kanyon
I193862,C272901,Female,60,Clothing,2,600.16,Credit Card,16/01/2021,Viaport Outlet
I246867,C147771,Female,25,Clothing,5,1500.4,Credit Card,26/08/2021,Mall of Istanbul
I220275,C280833,Female,52,Toys,5,179.2,Debit Card,1/3/23,Viaport Outlet
I134330,C849036,Male,33,Cosmetics,5,203.3,Cash,5/3/23,Mall of Istanbul
I313188,C214126,Female,49,Clothing,2,600.16,Cash,26/07/2022,Mall of Istanbul
I947662,C555219,Female,67,Food & Beverage,2,10.46,Debit Card,1/3/22,Cevahir AVM
I510891,C156426,Female,41,Clothing,4,1200.32,Cash,16/05/2022,Metropol AVM
I212279,C171062,Female,65,Clothing,2,600.16,Cash,21/05/2022,Metrocity
I106584,C935895,Female,57,Shoes,1,600.17,Cash,8/7/22,Mall of Istanbul
I168792,C142957,Male,18,Cosmetics,4,162.64,Credit Card,25/05/2022,Kanyon
I848174,C379913,Female,27,Shoes,2,1200.34,Cash,14/05/2022,Cevahir AVM
I292458,C164445,Male,46,Technology,5,5250.0,Debit Card,7/8/22,Mall of Istanbul
I220198,C306560,Male,36,Clothing,4,1200.32,Cash,23/10/2022,Metropol AVM
I613216,C138284,Male,30,Cosmetics,5,203.3,Credit Card,16/04/2022,Zorlu Center
I794960,C267282,Female,64,Technology,4,4200.0,Cash,3/5/21,Mall of Istanbul
I796504,C572982,Male,38,Cosmetics,1,40.66,Cash,22/05/2021,Emaar Square Mall
I214290,C200363,Male,21,Shoes,4,2400.68,Debit Card,17/01/2021,Istinye Park
I170416,C323877,Female,64,Shoes,5,3000.85,Credit Card,27/01/2022,Metrocity
I172494,C314163,Female,58,Shoes,1,600.17,Cash,7/9/22,Kanyon
I140833,C734317,Male,28,Clothing,1,300.08,Cash,24/02/2021,Zorlu Center
I249766,C130130,Male,21,Toys,4,143.36,Credit Card,14/10/2022,Zorlu Center
I720462,C178486,Male,37,Souvenir,4,46.92,Cash,2/4/21,Kanyon
I225875,C145256,Female,30,Technology,2,2100.0,Debit Card,10/5/22,Metrocity
I102133,C121237,Female,36,Clothing,1,300.08,Credit Card,10/1/22,Kanyon
I668981,C361239,Male,69,Toys,4,143.36,Debit Card,23/10/2022,Metrocity
I891565,C740056,Male,21,Clothing,2,600.16,Debit Card,25/02/2021,Viaport Outlet
I883022,C186458,Female,68,Technology,5,5250.0,Credit Card,15/02/2022,Cevahir AVM
I873876,C228079,Female,42,Books,5,75.75,Cash,16/10/2022,Emaar Square Mall
I283860,C123568,Male,44,Cosmetics,5,203.3,Credit Card,14/09/2021,Istinye Park
I187742,C281206,Female,39,Shoes,3,1800.51,Cash,11/12/22,Mall of Istanbul
I125172,C279874,Female,63,Books,3,45.45,Cash,12/10/22,Viaport Outlet
I333646,C266637,Female,61,Food & Beverage,2,10.46,Cash,5/8/21,Metrocity
I164451,C191989,Female,38,Food & Beverage,5,26.15,Credit Card,10/12/21,Mall of Istanbul
I304976,C858985,Male,19,Clothing,2,600.16,Debit Card,14/11/2022,Mall of Istanbul
I119142,C278588,Female,35,Cosmetics,5,203.3,Debit Card,25/01/2023,Cevahir AVM
I334018,C157039,Female,26,Clothing,4,1200.32,Cash,27/05/2021,Metrocity
I319048,C451708,Female,32,Food & Beverage,5,26.15,Debit Card,20/04/2021,Mall of Istanbul
I137706,C213260,Male,59,Shoes,2,1200.34,Credit Card,11/5/22,Zorlu Center
I328478,C292457,Male,29,Clothing,2,600.16,Cash,23/11/2022,Cevahir AVM
I393903,C279902,Male,52,Souvenir,1,11.73,Credit Card,15/01/2021,Cevahir AVM
I577150,C260047,Female,55,Shoes,4,2400.68,Cash,25/07/2022,Metrocity
I580924,C323396,Male,46,Technology,5,5250.0,Cash,22/04/2022,Mall of Istanbul
I762870,C285393,Male,67,Shoes,1,600.17,Cash,16/11/2021,Kanyon
I108819,C315468,Male,26,Clothing,1,300.08,Debit Card,29/07/2021,Metrocity
I358265,C156755,Male,21,Books,2,30.3,Credit Card,19/01/2021,Metrocity
I200805,C999995,Female,57,Clothing,2,600.16,Cash,30/07/2021,Kanyon
I868661,C591556,Female,24,Clothing,1,300.08,Credit Card,8/10/22,Forum Istanbul
I849629,C478236,Female,35,Shoes,1,600.17,Debit Card,9/1/21,Istinye Park
I468424,C313216,Female,47,Shoes,2,1200.34,Cash,4/2/21,Istinye Park
I172124,C295109,Female,52,Books,5,75.75,Debit Card,7/5/22,Mall of Istanbul
I203594,C697348,Female,42,Clothing,4,1200.32,Cash,12/12/22,Mall of Istanbul
I829474,C803872,Female,48,Books,2,30.3,Debit Card,22/06/2022,Viaport Outlet
I185830,C227998,Female,67,Clothing,1,300.08,Credit Card,16/09/2022,Kanyon
I110991,C716663,Male,61,Toys,1,35.84,Cash,20/10/2021,Kanyon
I236449,C569005,Female,21,Clothing,5,1500.4,Cash,25/09/2021,Cevahir AVM
I159044,C115813,Female,41,Cosmetics,5,203.3,Cash,22/03/2022,Metropol AVM
I927620,C582601,Female,33,Technology,2,2100.0,Cash,2/2/23,Mall of Istanbul
I663300,C420242,Female,61,Shoes,5,3000.85,Cash,8/10/21,Mall of Istanbul
I177082,C264631,Male,50,Food & Beverage,3,15.69,Credit Card,22/04/2022,Mall of Istanbul
I126496,C533216,Female,56,Clothing,4,1200.32,Credit Card,12/9/22,Viaport Outlet
I291592,C247770,Male,68,Clothing,3,900.24,Cash,27/01/2021,Forum Istanbul
I132336,C133633,Male,42,Shoes,4,2400.68,Cash,19/01/2021,Kanyon
I102490,C191187,Female,35,Souvenir,4,46.92,Credit Card,18/12/2022,Mall of Istanbul
I142728,C317998,Female,63,Clothing,5,1500.4,Debit Card,15/08/2021,Mall of Istanbul
I332955,C171518,Female,19,Technology,3,3150.0,Debit Card,17/03/2022,Zorlu Center
I308243,C141163,Female,36,Clothing,3,900.24,Cash,13/01/2021,Mall of Istanbul
I760581,C132071,Male,44,Clothing,5,1500.4,Credit Card,4/2/23,Istinye Park
I337401,C383381,Female,61,Cosmetics,1,40.66,Cash,6/1/21,Kanyon
I220431,C249674,Female,62,Clothing,1,300.08,Cash,28/10/2022,Metrocity
I449859,C153507,Female,50,Clothing,2,600.16,Credit Card,9/6/22,Metrocity
I227944,C125999,Female,60,Cosmetics,4,162.64,Credit Card,2/2/22,Mall of Istanbul
I133263,C742828,Male,59,Food & Beverage,1,5.23,Credit Card,22/11/2021,Metropol AVM
I295174,C190475,Female,67,Shoes,2,1200.34,Cash,4/3/21,Cevahir AVM
I249806,C337291,Male,31,Food & Beverage,2,10.46,Credit Card,12/1/23,Cevahir AVM
I115071,C283109,Female,61,Food & Beverage,2,10.46,Cash,31/10/2021,Mall of Istanbul
I316277,C256875,Female,61,Toys,1,35.84,Credit Card,21/06/2022,Mall of Istanbul
I248085,C278323,Male,43,Food & Beverage,1,5.23,Debit Card,21/02/2022,Metrocity
I208145,C294441,Male,19,Toys,3,107.52,Credit Card,26/01/2022,Istinye Park
I808395,C123061,Female,52,Toys,2,71.68,Cash,5/11/21,Istinye Park
I171002,C246323,Female,32,Clothing,2,600.16,Credit Card,25/10/2022,Forum Istanbul
I140333,C671354,Female,59,Technology,2,2100.0,Credit Card,4/6/21,Kanyon
I225345,C173241,Male,47,Clothing,1,300.08,Cash,24/04/2022,Zorlu Center
I211204,C180204,Female,47,Cosmetics,5,203.3,Debit Card,4/6/22,Viaport Outlet
I204148,C276661,Male,68,Clothing,5,1500.4,Credit Card,3/4/22,Forum Istanbul
I132437,C201690,Male,65,Food & Beverage,3,15.69,Credit Card,11/9/21,Emaar Square Mall
I161623,C151790,Male,42,Food & Beverage,3,15.69,Cash,21/10/2022,Metrocity
I149996,C421893,Male,50,Food & Beverage,4,20.92,Cash,22/03/2021,Mall of Istanbul
I158953,C826212,Male,49,Food & Beverage,1,5.23,Credit Card,24/02/2022,Zorlu Center
I293423,C129828,Female,26,Cosmetics,4,162.64,Cash,24/01/2021,Metrocity
I322690,C130664,Female,51,Clothing,3,900.24,Debit Card,2/3/22,Istinye Park
I321025,C175002,Male,57,Food & Beverage,5,26.15,Cash,22/11/2021,Kanyon
I961031,C159554,Male,65,Clothing,2,600.16,Cash,10/10/22,Metrocity
I261578,C200660,Female,50,Clothing,2,600.16,Debit Card,4/4/21,Metropol AVM
I323402,C138563,Male,51,Technology,5,5250.0,Debit Card,3/11/21,Metrocity
I302323,C217025,Female,48,Clothing,3,900.24,Debit Card,29/06/2022,Kanyon
I348799,C586825,Female,31,Clothing,2,600.16,Credit Card,2/3/21,Kanyon
I546991,C335743,Female,30,Food & Beverage,3,15.69,Debit Card,21/09/2022,Mall of Istanbul
I102112,C308314,Male,26,Clothing,3,900.24,Credit Card,25/12/2021,Metrocity
I965525,C226108,Female,40,Clothing,2,600.16,Cash,14/12/2021,Mall of Istanbul
I202783,C331658,Male,62,Clothing,4,1200.32,Cash,27/09/2022,Cevahir AVM
I174206,C350951,Female,29,Cosmetics,1,40.66,Debit Card,13/03/2022,Mall of Istanbul
I292270,C100301,Female,19,Books,1,15.15,Credit Card,27/08/2021,Mall of Istanbul
I236545,C198803,Female,56,Clothing,4,1200.32,Debit Card,17/05/2022,Kanyon
I228173,C202113,Male,33,Clothing,2,600.16,Credit Card,4/9/22,Kanyon
I237011,C713491,Male,57,Cosmetics,2,81.32,Cash,15/11/2022,Mall of Istanbul
I119653,C259304,Female,63,Cosmetics,5,203.3,Cash,10/8/22,Kanyon
I265451,C412145,Female,39,Cosmetics,2,81.32,Debit Card,24/04/2022,Metrocity
I241733,C126104,Male,40,Cosmetics,3,121.98,Cash,18/10/2021,Metropol AVM
I261333,C894658,Male,30,Clothing,5,1500.4,Cash,18/12/2022,Mall of Istanbul
I183116,C133910,Male,24,Cosmetics,1,40.66,Cash,15/02/2023,Mall of Istanbul
I133292,C313838,Female,60,Food & Beverage,5,26.15,Cash,9/5/21,Istinye Park
I168962,C185182,Female,52,Shoes,4,2400.68,Credit Card,13/04/2021,Zorlu Center
I220333,C158736,Female,43,Food & Beverage,1,5.23,Cash,15/08/2021,Cevahir AVM
I268537,C147595,Male,69,Toys,5,179.2,Credit Card,22/10/2021,Viaport Outlet
I320933,C160839,Female,27,Clothing,2,600.16,Cash,21/01/2023,Mall of Istanbul
I262137,C249123,Female,38,Cosmetics,5,203.3,Cash,23/02/2021,Mall of Istanbul
I537469,C311634,Female,68,Clothing,4,1200.32,Debit Card,19/02/2023,Metrocity
I321494,C463180,Male,64,Cosmetics,3,121.98,Debit Card,23/08/2022,Metropol AVM
I772542,C531846,Male,66,Cosmetics,3,121.98,Cash,1/2/21,Kanyon
I294768,C243099,Male,21,Food & Beverage,2,10.46,Debit Card,9/2/23,Cevahir AVM
I232831,C559759,Male,28,Clothing,3,900.24,Cash,14/06/2021,Cevahir AVM
I163765,C183841,Male,24,Clothing,2,600.16,Credit Card,7/9/21,Cevahir AVM
I644092,C122068,Female,26,Clothing,2,600.16,Debit Card,31/07/2021,Mall of Istanbul
I604596,C160690,Male,40,Clothing,5,1500.4,Cash,28/05/2022,Metrocity
I277698,C225915,Male,30,Clothing,1,300.08,Cash,13/03/2022,Mall of Istanbul
I122202,C218824,Female,32,Toys,2,71.68,Cash,24/02/2022,Mall of Istanbul
I578752,C236146,Male,64,Food & Beverage,3,15.69,Credit Card,21/06/2021,Kanyon
I188504,C364851,Male,31,Clothing,3,900.24,Cash,14/08/2022,Mall of Istanbul
I501518,C219029,Female,38,Technology,4,4200.0,Cash,6/11/21,Kanyon
I731599,C126848,Female,20,Technology,3,3150.0,Cash,31/01/2023,Forum Istanbul
I288938,C229946,Male,36,Clothing,1,300.08,Credit Card,27/07/2021,Cevahir AVM
I213702,C244356,Male,50,Toys,3,107.52,Cash,5/1/22,Forum Istanbul
I232721,C250201,Male,33,Food & Beverage,1,5.23,Cash,16/09/2021,Viaport Outlet
I625564,C141983,Female,35,Toys,1,35.84,Credit Card,14/02/2022,Zorlu Center
I109391,C241190,Female,30,Food & Beverage,2,10.46,Credit Card,10/2/22,Kanyon
I278761,C268261,Male,51,Cosmetics,1,40.66,Cash,20/04/2021,Kanyon
I206051,C755473,Female,42,Toys,2,71.68,Debit Card,29/07/2021,Metropol AVM
I265350,C278388,Female,69,Clothing,1,300.08,Credit Card,1/11/21,Kanyon
I970737,C968660,Male,18,Toys,2,71.68,Cash,2/2/21,Kanyon
I281569,C103332,Male,39,Cosmetics,2,81.32,Cash,14/11/2021,Mall of Istanbul
I159709,C280134,Male,67,Food & Beverage,2,10.46,Credit Card,23/12/2022,Metropol AVM
I328092,C109519,Female,45,Clothing,4,1200.32,Cash,29/05/2022,Metropol AVM
I190092,C787277,Male,50,Toys,1,35.84,Cash,31/03/2022,Mall of Istanbul
I147642,C238427,Male,35,Clothing,4,1200.32,Credit Card,28/03/2021,Istinye Park
I631901,C800537,Male,28,Clothing,2,600.16,Credit Card,3/8/21,Mall of Istanbul
I308765,C770087,Female,22,Clothing,5,1500.4,Credit Card,12/7/21,Metropol AVM
I267559,C383164,Male,18,Clothing,2,600.16,Credit Card,10/1/22,Forum Istanbul
I239796,C112344,Male,56,Clothing,1,300.08,Cash,20/01/2021,Mall of Istanbul
I376902,C175465,Male,68,Clothing,1,300.08,Debit Card,2/3/21,Metropol AVM
I336820,C660875,Male,36,Toys,5,179.2,Debit Card,22/02/2023,Kanyon
I113687,C127361,Female,30,Toys,3,107.52,Credit Card,14/06/2022,Mall of Istanbul
I285665,C840447,Female,42,Technology,5,5250.0,Cash,27/11/2021,Zorlu Center
I131558,C165082,Female,63,Technology,5,5250.0,Credit Card,3/11/21,Mall of Istanbul
I910944,C188730,Male,23,Toys,2,71.68,Credit Card,28/08/2022,Metrocity
I931510,C337969,Male,48,Clothing,4,1200.32,Debit Card,21/03/2022,Metrocity
I305212,C257608,Female,32,Shoes,2,1200.34,Credit Card,10/12/22,Istinye Park
I134526,C177194,Male,67,Clothing,1,300.08,Credit Card,16/08/2021,Viaport Outlet
I253922,C217145,Male,48,Clothin,2,600.16,Cash,8/7/22,Emaar Square Mall
I125557,C262475,Female,34,Clothing,1,300.08,Credit Card,10/8/22,Emaar Square Mall
I312641,C610188,Female,49,Technology,3,3150.0,Cash,2/5/21,Metropol AVM
I373981,C231452,Female,67,Toys,1,35.84,Debit Card,9/12/21,Cevahir AVM
I200576,C187675,Female,53,Clothing,1,300.08,Credit Card,24/01/2021,Forum Istanbul
I244083,C986077,Female,68,Toys,3,107.52,Credit Card,31/05/2022,Forum Istanbul
I220889,C100786,Male,44,Clothing,2,600.16,Cash,5/3/22,Kanyon
I308507,C991717,Female,43,Shoes,4,2400.68,Cash,22/12/2021,Forum Istanbul
I119102,C139848,Female,35,Shoes,2,1200.34,Cash,29/09/2022,Kanyon
I139947,C287029,Female,51,Souvenir,1,11.73,Debit Card,24/03/2021,Metrocity
I293362,C267256,Female,20,Toys,4,143.36,Credit Card,19/02/2021,Mall of Istanbul
I202997,C105230,Female,18,Souvenir,5,58.65,Credit Card,19/07/2022,Forum Istanbul
I106793,C316527,Male,44,Books,4,60.6,Credit Card,14/06/2021,Mall of Istanbul
I318127,C462082,Female,58,Clothing,3,900.24,Cash,31/05/2022,Metrocity
I172332,C169533,Female,31,Toys,1,35.84,Credit Card,3/2/22,Mall of Istanbul
I513524,C251853,Female,46,Clothing,5,1500.4,Cash,15/12/2021,Mall of Istanbul
I135846,C923564,Female,27,Food & Beverage,5,26.15,Credit Card,15/02/2021,Kanyon
I109820,C282452,Female,65,Cosmetics,1,40.66,Debit Card,4/3/21,Istinye Park
I215074,C257636,Male,39,Food & Beverage,5,26.15,Credit Card,24/06/2021,Mall of Istanbul
I286161,C967546,Male,59,Toys,4,143.36,Cash,9/2/22,Metrocity
I769634,C104860,Male,45,Toys,4,143.36,Debit Card,31/08/2021,Mall of Istanbul
I313098,C142708,Male,23,Toys,3,107.52,Debit Card,9/1/22,Cevahir AVM
I333538,C312408,Female,46,Clothing,3,900.24,Cash,7/2/21,Metrocity
I288795,C228908,Male,49,Technology,4,4200.0,Cash,17/06/2021,Kanyon
I233970,C761704,Female,54,Toys,4,143.36,Debit Card,23/11/2022,Forum Istanbul
I188502,C316921,Male,52,Clothing,5,1500.4,Cash,20/01/2022,Cevahir AVM
I310463,C290990,Male,67,Clothing,2,600.16,Credit Card,16/05/2022,Metrocity
I264147,C134586,Female,54,Cosmetics,1,40.66,Credit Card,13/06/2021,Cevahir AVM
I284935,C144512,Female,19,Clothing,5,1500.4,Credit Card,29/07/2021,Viaport Outlet
I313321,C258424,Female,31,Clothing,4,1200.32,Cash,16/05/2021,Viaport Outlet
I877134,C247419,Male,63,Cosmetics,3,121.98,Credit Card,21/11/2022,Mall of Istanbul
I230764,C434499,Female,49,Technology,2,2100.0,Credit Card,7/4/22,Kanyon
I101865,C248634,Female,47,Clothing,1,300.08,Cash,15/01/2023,Mall of Istanbul
I152940,C325370,Female,40,Food & Beverage,3,15.69,Credit Card,2/12/22,Metrocity
I288609,C179298,Female,22,Books,4,60.6,Cash,26/11/2022,Viaport Outlet
I616017,C189728,Female,42,Cosmetics,5,203.3,Credit Card,11/5/22,Kanyon
I126581,C112630,Male,55,Clothing,4,1200.32,Credit Card,14/10/2022,Metrocity
I556545,C322265,Female,66,Clothing,2,600.16,Credit Card,10/5/21,Istinye Park
I202955,C316820,Female,45,Clothing,1,300.08,Debit Card,9/6/22,Istinye Park
I283069,C332578,Male,51,Toys,5,179.2,Credit Card,22/09/2021,Kanyon
I112987,C215394,Female,41,Clothing,2,600.16,Cash,16/06/2022,Kanyon
I162092,C716068,Female,65,Cosmetics,4,162.64,Cash,14/11/2021,Forum Istanbul
I337674,C332336,Female,39,Toys,5,179.2,Credit Card,25/01/2022,Emaar Square Mall
I330777,C225009,Male,48,Clothing,5,1500.4,Cash,19/08/2022,Forum Istanbul
I325777,C200554,Male,34,Cosmetics,3,121.98,Cash,3/1/22,Metropol AVM
I173126,C413156,Male,37,Toys,3,107.52,Credit Card,29/09/2022,Mall of Istanbul
I328754,C163296,Female,29,Shoes,5,3000.85,Cash,22/01/2022,Metrocity
I775995,C195979,Female,68,Clothing,1,300.08,Debit Card,18/08/2022,Kanyon
I215624,C390272,Male,23,Toys,1,35.84,Credit Card,3/7/21,Zorlu Center
I265177,C625412,Male,20,Clothing,2,600.16,Credit Card,16/11/2021,Mall of Istanbul
I125825,C194338,Female,69,Food & Beverage,1,5.23,Cash,29/04/2021,Metrocity
I308366,C239334,Female,29,Food & Beverage,2,10.46,Cash,13/05/2022,Kanyon
I105693,C139896,Female,38,Souvenir,5,58.65,Credit Card,13/05/2021,Metrocity
I263199,C318239,Male,26,Technology,4,4200.0,Cash,15/12/2022,Emaar Square Mall
I232808,C319748,Female,48,Shoes,2,1200.34,Credit Card,10/4/22,Zorlu Center
I266392,C247629,Female,18,Cosmetics,3,121.98,Cash,16/12/2022,Forum Istanbul
I126125,C190064,Male,21,Food & Beverage,2,10.46,Credit Card,30/12/2022,Cevahir AVM
I325640,C347012,Female,19,Clothing,2,600.16,Credit Card,2/1/22,Mall of Istanbul
I104922,C120859,Female,58,Clothing,1,300.08,Cash,9/10/21,Viaport Outlet
I664371,C167549,Male,33,Cosmetics,1,40.66,Cash,8/3/21,Cevahir AVM
I128470,C245237,Female,37,Cosmetics,5,203.3,Credit Card,28/10/2021,Emaar Square Mall
I188668,C307637,Female,22,Food & Beverage,4,20.92,Credit Card,26/02/2023,Viaport Outlet
I694370,C215446,Female,50,Clothing,4,1200.32,Cash,8/2/23,Mall of Istanbul
I310833,C122606,Female,61,Cosmetics,1,40.66,Cash,9/8/22,Metropol AVM
I147597,C146925,Female,23,Souvenir,1,11.73,Cash,11/4/21,Mall of Istanbul
I333436,C250602,Male,37,Souvenir,1,11.73,Cash,8/2/22,Istinye Park
I340411,C102342,Male,30,Clothing,2,600.16,Credit Card,5/3/23,Kanyon
I209627,C943193,Female,56,Cosmetics,5,203.3,Credit Card,28/01/2023,Mall of Istanbul
I123115,C244455,Female,52,Clothing,1,300.08,Cash,19/12/2022,Kanyon
I188368,C754265,Female,36,Clothing,4,1200.32,Credit Card,5/2/22,Mall of Istanbul
I277697,C107988,Female,68,Souvenir,4,46.92,Debit Card,3/10/21,Viaport Outlet
I151668,C175447,Female,31,Technology,2,2100.0,Cash,30/06/2021,Emaar Square Mall
I224122,C236428,Male,44,Clothing,5,1500.4,Credit Card,1/7/22,Mall of Istanbul
I825734,C181899,Female,69,Shoes,3,1800.51,Debit Card,20/02/2021,Forum Istanbul
I104546,C152296,Male,25,Food & Beverage,2,10.46,Credit Card,3/3/22,Mall of Istanbul
I145934,C322291,Female,56,Cosmetics,4,162.64,Credit Card,27/06/2021,Istinye Park
I221555,C968041,Male,46,Technology,3,3150.0,Cash,12/10/22,Mall of Istanbul
I320021,C122988,Female,21,Food & Beverage,2,10.46,Credit Card,21/05/2021,Forum Istanbul
I321670,C805090,Female,47,Clothing,3,900.24,Cash,6/3/21,Istinye Park
I109285,C441769,Male,21,Food & Beverage,5,26.15,Credit Card,8/1/21,Kanyon
I102528,C279943,Male,45,Toys,3,107.52,Debit Card,23/06/2022,Viaport Outlet
I207230,C257888,Female,48,Clothing,1,300.08,Cash,28/02/2023,Kanyon
I275520,C234561,Male,62,Toys,1,35.84,Cash,26/12/2022,Istinye Park
I281835,C672557,Female,30,Clothing,5,1500.4,Cash,16/06/2021,Metropol AVM
I202630,C318117,Female,40,Toys,3,107.52,Credit Card,10/12/22,Istinye Park
I105173,C805945,Female,62,Technology,5,5250.0,Cash,11/3/22,Zorlu Center
I318360,C314096,Female,29,Food & Beverage,4,20.92,Credit Card,20/05/2021,Emaar Square Mall
I211911,C209267,Male,42,Clothing,5,1500.4,Debit Card,2/7/21,Istinye Park
I177312,C103267,Female,48,Souvenir,5,58.65,Credit Card,23/08/2021,Mall of Istanbul
I930138,C198739,Male,22,Toys,2,71.68,Cash,10/5/21,Kanyon
I120615,C107668,Female,22,Toys,2,71.68,Credit Card,2/2/22,Istinye Park
I931870,C178036,Female,56,Toys,2,71.68,Credit Card,7/5/21,Metropol AVM
